time,command,ambient_temp,room_temp,humidity,energy,total_energy
2019-11-01 05:09:15.507,heating,25.69,26.04,58.63,0.009,0.32
2019-11-01 05:09:20.507,off,25.67,25.97,58.7,0.0,0.32
2019-11-01 05:09:25.507,heating,25.7,26.07,58.63,0.009,0.33
2019-11-01 05:09:30.507,off,25.7,25.99,58.63,0.0,0.33
2019-11-01 05:09:35.507,heating,25.76,26.09,58.45,0.009,0.34
2019-11-01 05:09:40.507,off,25.76,26.01,58.45,0.0,0.34
2019-11-01 05:09:45.507,off,25.76,25.94,58.45,0.0,0.34
2019-11-01 05:09:50.507,heating,25.77,26.04,58.42,0.009,0.35
2019-11-01 05:09:55.507,off,25.77,25.96,58.45,0.0,0.35
2019-11-01 05:10:00.507,heating,25.77,26.06,58.45,0.009,0.36
2019-11-01 05:10:05.507,off,25.77,25.98,58.45,0.0,0.36
2019-11-01 05:10:10.507,heating,25.77,26.08,58.42,0.009,0.36
2019-11-01 05:10:15.507,off,25.77,26.01,58.42,0.0,0.36
2019-11-01 05:10:20.507,off,25.74,25.93,58.53,0.0,0.36
2019-11-01 05:10:25.507,heating,25.71,26.03,58.6,0.009,0.37
2019-11-01 05:10:30.507,off,25.71,25.95,58.6,0.0,0.37
2019-11-01 05:10:35.507,heating,25.71,26.05,58.6,0.009,0.38
2019-11-01 05:10:40.507,off,25.69,25.98,58.67,0.0,0.38
2019-11-01 05:10:45.507,heating,25.68,26.08,58.68,0.009,0.39
2019-11-01 05:10:50.507,off,25.68,26.0,58.68,0.0,0.39
2019-11-01 05:10:55.507,off,25.64,25.92,58.79,0.0,0.39
2019-11-01 05:11:00.507,heating,25.64,26.02,58.79,0.009,0.4
2019-11-01 05:11:05.507,off,25.62,25.95,58.84,0.0,0.4
2019-11-01 05:11:10.507,heating,25.59,26.05,58.95,0.009,0.41
2019-11-01 05:11:15.507,off,25.58,25.97,58.96,0.0,0.41
2019-11-01 05:11:20.507,heating,25.58,26.07,58.95,0.009,0.42
2019-11-01 05:11:25.507,off,25.54,26.0,59.07,0.0,0.42
2019-11-01 05:11:30.507,heating,25.55,26.1,59.06,0.009,0.43
2019-11-01 05:11:35.507,off,25.54,26.02,59.07,0.0,0.43
2019-11-01 05:11:40.507,off,25.54,25.94,59.07,0.0,0.43
2019-11-01 05:11:45.507,heating,25.54,26.04,59.08,0.009,0.44
2019-11-01 05:11:50.507,off,25.58,25.97,58.96,0.0,0.44
2019-11-01 05:11:55.507,heating,25.6,26.07,58.91,0.009,0.45
2019-11-01 05:12:00.507,off,25.58,25.99,58.95,0.0,0.45
2019-11-01 05:12:05.507,heating,25.54,26.09,59.08,0.009,0.45
2019-11-01 05:12:10.507,off,25.53,26.01,59.11,0.0,0.45
2019-11-01 05:12:15.507,off,25.53,25.94,59.11,0.0,0.45
2019-11-01 05:12:20.507,heating,25.53,26.04,59.12,0.009,0.46
2019-11-01 05:12:25.507,off,25.53,25.96,59.12,0.0,0.46
