time,ambient_temp,room_temp,humidity,command,energy,total_energy,reason,discomfort,cost
2019-11-01 05:08:54.189,24.53,24.42,61.16,off,0.0,0.0,Passive simulation: HVAC always off,2.424386524637683,0.0
2019-11-01 05:08:59.189,24.03,24.39,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.3866204376811595,0.0
2019-11-01 05:09:04.189,24.03,24.35,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.348854350724636,0.0
2019-11-01 05:09:09.189,24.03,24.31,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.311088263768113,0.0
2019-11-01 05:09:14.189,24.03,24.27,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.2733221768115897,0.0
2019-11-01 05:09:19.189,23.97,24.24,61.17,off,0.0,0.0,Passive simulation: HVAC always off,2.2355560898550664,0.0
2019-11-01 05:09:24.189,23.43,24.2,61.11,off,0.0,0.0,Passive simulation: HVAC always off,2.1977785898550657,0.0
2019-11-01 05:09:29.189,23.97,24.16,61.0,off,0.0,0.0,Passive simulation: HVAC always off,2.159978589855065,0.0
2019-11-01 05:09:34.189,24.13,24.13,60.95,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:39.189,24.13,24.13,60.95,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:44.189,24.13,24.13,60.95,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:49.189,24.13,24.13,60.95,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:54.189,24.13,24.13,60.86,off,0.0,0.0,Passive simulation: HVAC always off,2.1333333333333364,0.0
2019-11-01 05:09:59.189,23.53,24.1,60.91,off,0.0,0.0,Passive simulation: HVAC always off,2.0955149333333374,0.0
2019-11-01 05:10:04.189,23.53,24.06,60.91,off,0.0,0.0,Passive simulation: HVAC always off,2.0576965333333384,0.0
2019-11-01 05:10:09.189,23.53,24.02,60.97,off,0.0,0.0,Passive simulation: HVAC always off,2.01988986666667,0.0
